year,0,1,2,3,4,5,6,7,8,9,10,11
1920,0.11475964793500339,0.018195666892349357,0.06431956668923494,0.14505754908598512,0.15614421123899797,0.09639471902505078,0.03546039268788084,0.13100880162491538,0.026404874746106973,0.0998645903859174,0.034529451591062965,0.07786052809749493
1921,0.11932484175978746,0.020942408376963352,0.056419473314057986,0.16535125420020316,0.16675783386731266,0.09799171680862702,0.047432992107525204,0.0686098304290068,0.04376025631007267,0.09564741736344455,0.047198562163006955,0.07056341329999219
1922,0.11745183746155091,0.019993524364578276,0.056418973611785654,0.1582483406184232,0.15760077707625061,0.0961631860126275,0.05059090173223248,0.08701635097943985,0.034401813177918086,0.0851546057956937,0.052695483244293344,0.0842642059252064
1923,0.12013422818791947,0.0174496644295302,0.07293064876957495,0.1534675615212528,0.18031319910514543,0.10604026845637583,0.04049217002237136,0.08859060402684564,0.028187919463087248,0.0912751677852349,0.03870246085011186,0.06241610738255034
1924,0.12261846604787494,0.019296531509526135,0.057889594528578406,0.1265266243282853,0.1704934049829018,0.12212994626282364,0.049096238397655104,0.13849535906204202,0.03981436248168051,0.07791890571568148,0.03395212506106497,0.041768441621885685
1925,0.1141880341880342,0.023247863247863248,0.048205128205128206,0.12854700854700854,0.2311111111111111,0.13538461538461538,0.0441025641025641,0.07213675213675214,0.04512820512820513,0.08444444444444445,0.02905982905982906,0.044444444444444446
1926,0.10248681235870384,0.0293896006028636,0.05425772418990203,0.0892991710625471,0.2121326299924642,0.14318010550113036,0.05162019593067069,0.09306706857573474,0.0452147701582517,0.09683496608892238,0.03843255463451394,0.044084400904295405
1927,0.11880733944954129,0.03577981651376147,0.04357798165137615,0.09770642201834863,0.23990825688073394,0.12935779816513762,0.04862385321100918,0.06376146788990826,0.03853211009174312,0.12064220183486239,0.03669724770642202,0.026605504587155965
1928,0.11764705882352941,0.0351976856316297,0.041947926711668276,0.08486017357762778,0.2232401157184185,0.11620057859209257,0.06316297010607522,0.12632594021215043,0.03230472516875603,0.09112825458052073,0.04001928640308582,0.027965284474445518
1929,0.10758377425044091,0.022339800117577895,0.06349206349206349,0.11992945326278659,0.20987654320987653,0.12345679012345678,0.05291005291005291,0.09523809523809523,0.027630805408583186,0.09700176366843033,0.05114638447971781,0.029394473838918283
1930,0.1036557149467839,0.022674687644608976,0.06524757056918093,0.09717723276260991,0.21517815826006478,0.13142063859324388,0.07033780657103193,0.1022674687644609,0.034706154558074964,0.08884775566867191,0.03054141601110597,0.03794539565016196
1931,0.1156957928802589,0.012944983818770227,0.05825242718446602,0.10234627831715211,0.20671521035598706,0.11771844660194175,0.04692556634304207,0.10234627831715211,0.063915857605178,0.0744336569579288,0.04773462783171521,0.050970873786407765
1932,0.09646464646464646,0.03207070707070707,0.06212121212121212,0.09823232323232323,0.20176767676767676,0.07323232323232323,0.07121212121212121,0.1431818181818182,0.06136363636363636,0.06338383838383839,0.06186868686868687,0.0351010101010101
1933,0.11535320538995508,0.017149857084524295,0.08125765618619844,0.07697019191506738,0.20355247039608004,0.0722743977133524,0.0587995100040833,0.11024908125765619,0.04981625153123724,0.06369946917109025,0.08411596570028583,0.06676194365046959
1934,0.12207127387280961,0.021854695806261076,0.08328411104548139,0.06989564874975389,0.21204961606615474,0.08131521953140382,0.051191179366016935,0.11360504036227603,0.042724945855483365,0.05670407560543414,0.07009253790116164,0.07521165583776333
1935,0.12039532794249776,0.027628032345013476,0.06311769991015274,0.08063791554357592,0.2362982929020665,0.09433962264150944,0.06199460916442048,0.10669362084456424,0.055705300988319856,0.05727762803234501,0.053683737646001796,0.042228212039532795
1936,0.11454965357967667,0.019168591224018476,0.05034642032332563,0.09907621247113164,0.2258660508083141,0.07782909930715935,0.043187066974595845,0.1748267898383372,0.048729792147806004,0.051270207852193994,0.04780600461893764,0.04734411085450346
1937,0.1190189949507093,0.014426544842510219,0.061553257994710266,0.10603510459245011,0.22577542678528492,0.0858379418129358,0.07141139697042559,0.09377254147631642,0.052416446261120464,0.06083193075258476,0.03342149555181534,0.07549891800913681
1938,0.11840354767184036,0.01130820399113082,0.05920177383592018,0.1197339246119734,0.22195121951219512,0.07339246119733925,0.0507760532150776,0.1434589800443459,0.048337028824833705,0.05609756097560976,0.03991130820399113,0.05742793791574279
1939,0.11004784688995216,0.013024986709197236,0.05475810738968634,0.15497076023391812,0.20281765018607123,0.06831472620946305,0.07256778309409888,0.10366826156299841,0.05475810738968634,0.07655502392344497,0.038011695906432746,0.050505050505050504
1940,0.11361472548397335,0.013011742304030467,0.05014281180577594,0.14947635671215487,0.22500793398920976,0.052999047921294826,0.050777530942557915,0.13551253570295144,0.041574103459219296,0.08886067914947636,0.03395747381783561,0.04506505871152015
