,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12
Topic 0,court,case,police,law,attorney,judge,liquor,states,jury,prohibition,justice,men
Topic 1,tax,bill,service,board,committee,work,public,labor,district,relief,pay,state
Topic 2,court,estate,district,state,shall,probate,notice,property,law,columbia,irish,deceased
Topic 3,states,united,american,president,con,congress,people,conference,power,must,country,national
Topic 4,cent,bank,market,stock,banks,bonds,york,prices,reserve,gold,business,loans
Topic 5,senator,president,senate,republican,house,party,state,roosevelt,democratic,bill,committee,governor
Topic 6,people,man,men,every,great,country,good,old,world,life,get,work
Topic 7,coal,room,rooms,district,ave,bath,house,large,home,miners,company,columbia
Topic 8,united,states,american,japanese,mexico,japan,china,air,navy,chinese,radio,naval
Topic 9,miss,school,washington,president,national,meeting,street,club,john,home,held,george
Topic 10,british,war,german,french,germany,france,russia,london,soviet,troops,army,britain
Topic 11,state,farm,building,work,alaska,road,states,farmers,water,ing,land,power
