,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12
Topic 0,people,men,must,work,business,country,public,every,great,good,man,world
Topic 1,probate,district,columbia,court,district columbia,estate,probate court,deceased,court district,subscriber,notice,letters
Topic 2,market,prices,bonds,cent,stock,points,cotton,issues,wheat,stocks,york,price
Topic 3,british,french,germany,german,france,war,britain,russia,soviet,japanese,treaty,london
Topic 4,miss,school,street,club,home,meeting,washington,church,building,night,john,service
Topic 5,court,judge,jury,case,attorney,liquor,law,trial,justice,prohibition,grand,grand jury
Topic 6,bill,senate,house,committee,senator,congress,measure,passed,session,legislation,bills,amendment
Topic 7,party,president,republican,senator,democratic,roosevelt,state,governor,democrats,election,campaign,political
Topic 8,tax,income,taxes,income tax,cent,revenue,state,pay,treasury,paid,taxation,total
Topic 9,states,united,united states,american,mexico,mexican,washington,president,department,america,secretary,foreign
Topic 10,bank,banks,reserve,loans,gold,deposits,reserve bank,cent,loan,total,credit,board
Topic 11,labor,coal,strike,workers,board,union,railroad,miners,employees,wage,commission,work
